X1,X2,X3,X4,Y
-1.002201,3.059339,-0.875403,-1.072219,0
-1.023576,3.595337,-1.154422,-0.786754,0
-0.829434,2.701575,-0.781689,-0.727151,0
-1.049711,2.6444,-0.806903,-1.201354,0
-1.04877,2.813749,-0.924732,-1.412161,0
-1.330012,2.86653,-0.975702,-1.405519,0
-0.989826,2.919489,-1.093814,-0.891634,0
-1.082311,3.083013,-0.978389,-1.236805,0
-0.981135,2.866565,-0.830228,-0.930702,0
-1.041153,2.619355,-1.043518,-0.977816,0
-0.977143,2.627903,-0.829108,-0.968363,0
-1.061591,3.057028,-1.260421,-1.069908,0
-1.191732,2.945871,-1.102686,-1.117406,0
-0.946723,3.178163,-0.980745,-1.089794,0
-0.95512,2.512753,-1.070917,-0.909125,0
-1.074715,3.003653,-0.025441,-1.518888,0
-1.157096,3.294058,-1.167194,-0.871106,0
-1.181547,3.429552,-0.838026,-1.244137,0
-0.939068,3.065011,-1.057739,-0.986846,0
-1.015764,2.496335,-0.609327,-1.362422,0
-0.917804,2.920792,-1.291077,-0.83585,0
-0.786476,2.889611,-0.594489,-0.892358,0
-0.944666,2.616451,-0.778303,-1.258948,0
-0.82844,2.743274,-0.414465,-1.054897,0
-1.060668,3.148915,-0.737206,-1.293609,0
-0.978279,2.950427,-0.897786,-1.050936,0
-0.958007,2.959899,-1.62438,-0.562564,0
-0.773688,3.045985,-1.158173,-0.692757,0
-1.000335,3.081142,-0.992239,-1.259469,0
-1.294835,3.121692,-1.454007,-1.12187,0
-1.109061,3.025517,-0.86061,-1.23093,0
-0.90562,3.117744,-0.948666,-0.831877,0
-0.816322,3.121446,-1.120895,-0.92143,0
-1.021168,2.705948,-0.96542,-1.02671,0
-0.979137,3.037798,-1.270827,-0.928049,0
-1.149972,2.914566,-1.10606,-1.139465,0
-1.006907,3.034325,-1.114068,-0.876057,0
-0.933279,2.671494,-0.932761,-0.867351,0
-0.977762,3.215652,-1.354927,-0.772455,0
-1.049234,2.945058,-0.920218,-0.938593,0
-0.840619,2.984881,-0.834898,-0.922405,0
-0.783869,2.810519,-0.693828,-1.001479,0
-0.976685,2.900836,-1.095436,-0.689152,0
-0.94914,2.978124,-0.552575,-1.203711,0
-0.897339,2.951889,-1.381496,-0.721402,0
-0.919153,2.650333,-1.114506,-1.008426,0
-0.768869,3.012786,-1.049818,-0.877419,0
-1.070959,2.987191,-0.799285,-1.22507,0
-0.94595,2.852401,-0.678579,-1.134359,0
-0.908115,2.977089,-1.072361,-1.110309,0
-1.080419,3.078782,-1.68061,-0.885303,0
-0.89888,3.18825,-1.168125,-0.777045,0
-0.952251,2.687794,-0.698254,-1.205502,0
-0.992962,2.826219,-1.348634,-0.758368,0
-0.933585,2.97028,-0.968503,-0.928167,0
-1.004885,3.039292,-0.981688,-1.024455,0
-1.054128,2.943566,-0.532212,-1.090051,0
-0.90787,2.748062,-0.922236,-0.834221,0
-1.110228,3.227586,-1.257889,-0.908419,0
-1.066082,2.740554,-1.308929,-0.906678,0
-1.078121,-0.919562,2.979865,3.236572,1
-0.874875,-1.074746,2.786516,2.97516,1
-1.1683,-0.851533,3.263539,2.726765,1
-1.123032,-0.85804,2.968652,3.279093,1
-1.291293,-0.638841,3.087754,3.130228,1
-1.085627,-0.93101,3.113006,2.940926,1
-0.859455,-1.118892,2.922308,2.853543,1
-0.781318,-1.359246,3.165981,2.189986,1
-0.988042,-0.895515,2.866388,3.209149,1
-0.927571,-1.115659,3.119672,2.694977,1
-1.073048,-0.898132,3.0347,2.973908,1
-1.173534,-0.8513,3.080132,3.351789,1
-1.073141,-0.833272,2.998506,2.904563,1
-1.034163,-0.854908,2.860077,3.145073,1
-1.187578,-0.673364,2.929043,3.355123,1
-1.217943,-0.730719,3.084527,3.021451,1
-1.018747,-0.937221,2.984305,3.251678,1
-1.000559,-0.958268,3.004241,2.895032,1
-0.995204,-1.102724,3.137124,3.128825,1
-0.918929,-1.054283,2.971625,2.67974,1
-1.090139,-0.874788,3.009306,3.210413,1
-1.144361,-0.870442,3.116234,2.739643,1
-0.947801,-0.979902,2.910778,2.926934,1
-1.305241,-0.509527,2.969138,3.38724,1
-1.093855,-0.899875,3.148322,2.469092,1
-0.783083,-1.21469,2.866114,2.809086,1
-0.816799,-1.280084,3.158722,2.656041,1
-0.910734,-1.049721,2.901811,3.173945,1
-1.190507,-0.78179,3.139388,3.156035,1
-0.833822,-1.249099,2.979098,2.652358,1
-1.114921,-0.77307,2.817814,3.264099,1
-1.026644,-0.95019,3.01157,2.839569,1
-0.769989,-1.151045,2.817043,3.100409,1
-1.048244,-1.020807,3.07866,2.903439,1
-1.021373,-1.000339,3.001084,2.9349,1
-1.002353,-0.964314,2.951708,2.850528,1
-0.931884,-1.046597,2.938907,3.004922,1
-0.890464,-1.216824,2.999997,3.291417,1
-0.914188,-1.116214,2.976233,3.064744,1
-1.135702,-0.82582,3.067706,2.89436,1
-0.646776,-1.431412,2.915513,2.711666,1
-0.966606,-0.988336,2.959564,2.838619,1
-0.686179,-1.35764,2.9372,2.868022,1
-1.348973,-0.566457,3.081469,3.033361,1
-1.083338,-0.843094,2.908044,3.243654,1
-1.039652,-1.02265,3.096981,3.043876,1
-1.032683,-0.943909,3.050423,2.841163,1
-1.126066,-0.881513,3.099907,3.280274,1
-1.116123,-0.856127,3.069809,3.022408,1
-0.856003,-1.037897,2.795019,2.617301,1
-1.072451,-0.80105,2.992893,2.969768,1
-1.598918,-0.334822,3.263643,3.119677,1
-1.026339,-0.930668,2.939781,2.786135,1
-1.213199,-0.687481,3.064553,2.789783,1
-1.14089,-0.80265,3.09219,2.509302,1
